t,plant,axis,metamer,organ,sucrose,temperature,proteins,amino_acids,day,light,leaf_pseudo_age
70,1,MS,4,hiddenzone,3.23125317,8,5.5196789,0.34461975,3,day,883790.9923
70,1,MS,5,hiddenzone,0.15619475,8,0.23317938,0.01665854,3,day,87712.92703
71,1,MS,3,hiddenzone,6.14665132,8,9.12569421,0.6623763,3,night,1698212.08
71,1,MS,4,hiddenzone,3.20133595,8,5.52750296,0.34495444,3,night,885212.0804
71,1,MS,5,hiddenzone,0.15550476,8,0.23359086,0.0167562,3,night,89134.01521
72,1,MS,3,hiddenzone,6.25747185,8,9.14207276,0.66579966,4,night,1699675.226
72,1,MS,4,hiddenzone,3.25946853,8,5.53534618,0.3469942,4,night,886675.2262
72,1,MS,5,hiddenzone,0.15913339,8,0.2340064,0.01694062,4,night,90597.16096
73,1,MS,3,hiddenzone,6.4196853,8,9.15847365,0.66879965,4,night,1701199.599
73,1,MS,4,hiddenzone,3.34688259,8,5.54321258,0.34885259,4,night,888199.5986
73,1,MS,5,hiddenzone,0.16426833,8,0.23442637,0.01712166,4,night,92121.53338
74,1,MS,3,hiddenzone,6.61400403,8,9.17489935,0.67201873,4,night,1702754.584
74,1,MS,4,hiddenzone,3.45123227,8,5.55110357,0.35083277,4,night,889754.5844
74,1,MS,5,hiddenzone,0.17031201,8,0.23485095,0.01731254,4,night,93676.51914
75,1,MS,3,hiddenzone,6.82671833,8,9.19135101,0.67533097,4,night,1704311.573
75,1,MS,4,hiddenzone,3.5653333,8,5.55901975,0.35286423,4,night,891311.5729
75,1,MS,5,hiddenzone,0.17690712,8,0.23528023,0.01750821,4,night,95233.50763
76,1,MS,3,hiddenzone,6.95440013,8,9.20782401,0.67753571,4,night,1705815.346
76,1,MS,4,hiddenzone,3.63611916,8,5.5669585,0.35432115,4,night,892815.3457
76,1,MS,5,hiddenzone,0.18137752,8,0.23571402,0.01767403,4,night,96737.28043
77,1,MS,3,hiddenzone,7.06435735,8,9.22431134,0.67951767,4,night,1707216.693
77,1,MS,4,hiddenzone,3.69640642,8,5.57491526,0.35562896,4,night,894216.6925
77,1,MS,5,hiddenzone,0.18530353,8,0.23615189,0.01782768,4,night,98138.6273
